datetime,Adj_Close,Close,High,Low,Open,Volume,Symbol
2025-04-29,211.21001,211.21001,212.24001,208.37,208.69,36827600,AAPL
2025-04-28,210.14,210.14,211.5,207.46001,210.0,38743100,AAPL
2025-04-25,209.28,209.28,209.75,206.2,206.37,38222300,AAPL
2025-04-24,208.37,208.37,208.83,202.94,204.89,47311000,AAPL
2025-04-23,204.60001,204.60001,208.0,202.8,206.0,52929200,AAPL
2025-04-22,199.74001,199.74001,201.59,195.97,196.12,52976400,AAPL
2025-04-21,193.16,193.16,193.8,189.81,193.27,46742500,AAPL
2025-04-17,196.98,196.98,198.83,194.42,197.2,51334300,AAPL
2025-04-16,194.27,194.27,200.7,192.37,198.36,59732400,AAPL
2025-04-15,202.14,202.14,203.50999,199.8,201.86,51343900,AAPL
2025-04-14,202.52,202.52,212.94,201.16,211.44,101352900,AAPL
2025-04-11,198.14999,198.14999,199.53999,186.06,186.10001,87435900,AAPL
2025-04-10,190.42,190.42,194.78,183.0,189.07001,121880000,AAPL
2025-04-09,198.85001,198.85001,200.61,171.89,171.95,184395900,AAPL
2025-04-08,172.42,172.42,190.34,169.21001,186.7,120859500,AAPL
2025-04-07,181.46001,181.46001,194.14999,174.62,177.2,160466300,AAPL
2025-04-04,188.38,188.38,199.88,187.34,193.89,125910900,AAPL
2025-04-03,203.19,203.19,207.49001,201.25,205.53999,103419000,AAPL
2025-04-02,223.89,223.89,225.19,221.02,221.32001,35905900,AAPL
2025-04-01,223.19,223.19,223.67999,218.89999,219.81,36412700,AAPL
2025-03-31,222.13,222.13,225.62,216.23,217.00999,65299300,AAPL
2025-03-28,217.89999,217.89999,223.81,217.67999,221.67,39818600,AAPL
2025-03-27,223.85001,223.85001,224.99001,220.56,221.39,37094800,AAPL
2025-03-26,221.53,221.53,225.02,220.47,223.50999,34466100,AAPL
2025-03-25,223.75,223.75,224.10001,220.08,220.77,34493600,AAPL
2025-03-24,220.73,220.73,221.48,218.58,221.0,44299500,AAPL
2025-03-21,218.27,218.27,218.84,211.28,211.56,94127800,AAPL
2025-03-20,214.10001,214.10001,217.49001,212.22,213.99001,48862900,AAPL
2025-03-19,215.24001,215.24001,218.75999,213.75,214.22,54385400,AAPL
2025-03-18,212.69,212.69,215.14999,211.49001,214.16,42432400,AAPL
2025-03-17,214.0,214.0,215.22,209.97,213.31,48073400,AAPL
2025-03-14,213.49001,213.49001,213.95,209.58,211.25,60107600,AAPL
2025-03-13,209.67999,209.67999,216.84,208.42,215.95,61368300,AAPL
2025-03-12,216.98,216.98,221.75,214.91,220.14,62547500,AAPL
2025-03-11,220.84,220.84,225.84,217.45,223.81,76137400,AAPL
2025-03-10,227.48,227.48,236.16,224.22,235.53999,72071200,AAPL
2025-03-07,239.07001,239.07001,241.37,234.75999,235.11,46273600,AAPL
2025-03-06,235.33,235.33,237.86,233.16,234.44,45170400,AAPL
2025-03-05,235.74001,235.74001,236.55,229.23,235.42,47227600,AAPL
2025-03-04,235.92999,235.92999,240.07001,234.67999,237.71001,53798100,AAPL
2025-03-03,238.03,238.03,244.03,236.11,241.78999,47184000,AAPL
2025-02-28,241.84,241.84,242.09,230.2,236.95,56833400,AAPL
2025-02-27,237.3,237.3,242.46001,237.06,239.41,41153600,AAPL
2025-02-26,240.36,240.36,244.98,239.13,244.33,44433600,AAPL
2025-02-25,247.03999,247.03999,250.0,244.91,248.0,48013300,AAPL
2025-02-24,247.10001,247.10001,248.86,244.42,244.92999,51326400,AAPL
2025-02-21,245.55,245.55,248.69,245.22,245.95,53197400,AAPL
2025-02-20,245.83,245.83,246.78,244.28999,244.94,32316900,AAPL
2025-02-19,244.87,244.87,246.00999,243.16,244.66,32204200,AAPL
2025-02-18,244.47,244.47,245.17999,241.84,244.14999,48822500,AAPL
2025-02-14,244.60001,244.60001,245.55,240.99001,241.25,40896200,AAPL
2025-02-13,241.53,241.53,242.34,235.57001,236.91,53614100,AAPL
2025-02-12,236.87,236.87,236.96001,230.67999,231.2,45243300,AAPL
2025-02-11,232.62,232.62,235.23,228.13,228.2,53718400,AAPL
2025-02-10,227.64999,227.64999,230.59,227.2,229.57001,33115600,AAPL
2025-02-07,227.63,227.63,234.0,227.25999,232.60001,39707200,AAPL
2025-02-06,233.22,233.22,233.8,230.42999,231.28999,29925300,AAPL
2025-02-05,232.47,232.47,232.67,228.27,228.53,39620300,AAPL
2025-02-04,232.8,232.8,233.13,226.64999,227.25,45067300,AAPL
2025-02-03,228.00999,228.00999,231.83,225.7,229.99001,73063300,AAPL
2025-01-31,236.0,236.0,247.19,233.44,247.19,101075100,AAPL
2025-01-30,237.59,237.59,240.78999,237.21001,238.67,55658300,AAPL
2025-01-29,239.36,239.36,239.86,234.00999,234.12,45486100,AAPL
2025-01-28,238.25999,238.25999,240.19,230.81,230.85001,75707600,AAPL
2025-01-27,229.86,229.86,232.14999,223.98,224.02,94863400,AAPL
2025-01-24,222.78,222.78,225.63,221.41,224.78,54697900,AAPL
2025-01-23,223.66,223.66,227.03,222.3,224.74001,60234800,AAPL
2025-01-22,223.83,223.83,224.12,219.78999,219.78999,64126500,AAPL
2025-01-21,222.64,222.64,224.42,219.38,224.0,98070400,AAPL
2025-01-17,229.98,229.98,232.28999,228.48,232.12,68488300,AAPL
2025-01-16,228.25999,228.25999,238.00999,228.03,237.35001,71759100,AAPL
2025-01-15,237.87,237.87,238.96001,234.42999,234.64,39832000,AAPL
2025-01-14,233.28,233.28,236.12,232.47,234.75,39435300,AAPL
2025-01-13,234.39999,234.39999,234.67,229.72,233.53,49630700,AAPL
2025-01-10,236.85001,236.85001,240.16,233.0,240.00999,61710900,AAPL
2025-01-08,242.7,242.7,243.71001,240.05,241.92,37628900,AAPL
2025-01-07,242.21001,242.21001,245.55,241.35001,242.98,40856000,AAPL
2025-01-06,245.0,245.0,247.33,243.2,244.31,45045600,AAPL
2025-01-03,243.36,243.36,244.17999,241.89,243.36,40244100,AAPL
2025-01-02,243.85001,243.85001,249.10001,241.82001,248.92999,55740700,AAPL
2024-12-31,250.42,250.42,253.28,249.42999,252.44,39480700,AAPL
2024-12-30,252.2,252.2,253.5,250.75,252.23,35557500,AAPL
2024-12-27,255.59,255.59,258.70001,253.06,257.82999,42355300,AAPL
2024-12-26,259.01999,259.01999,260.10001,257.63,258.19,27237100,AAPL
2024-12-24,258.20001,258.20001,258.20999,255.28999,255.49001,23234700,AAPL
2024-12-23,255.27,255.27,255.64999,253.45,254.77,40858800,AAPL
2024-12-20,254.49001,254.49001,255.0,245.69,248.03999,147495300,AAPL
2024-12-19,249.78999,249.78999,252.0,247.09,247.5,60882300,AAPL
2024-12-18,248.05,248.05,254.28,247.74001,252.16,56774100,AAPL
2024-12-17,253.48,253.48,253.83,249.78,250.08,51356400,AAPL
2024-12-16,251.03999,251.03999,251.38,247.64999,247.99001,51694800,AAPL
2024-12-13,248.13,248.13,249.28999,246.24001,247.82001,33155300,AAPL
2024-12-12,247.96001,247.96001,248.74001,245.67999,246.89,32777500,AAPL
2024-12-11,246.49001,246.49001,250.8,246.25999,247.96001,45205800,AAPL
2024-12-10,247.77,247.77,248.21001,245.34,246.89,36914800,AAPL
2024-12-09,246.75,246.75,247.24001,241.75,241.83,44649200,AAPL
2024-12-06,242.84,242.84,244.63,242.08,242.91,36870600,AAPL
2024-12-05,243.03999,243.03999,244.53999,242.13,243.99001,40033900,AAPL
2024-12-04,243.00999,243.00999,244.11,241.25,242.87,44383900,AAPL
2024-12-03,242.64999,242.64999,242.75999,238.89999,239.81,38861000,AAPL
2024-12-02,239.59,239.59,240.78999,237.16,237.27,48137100,AAPL
2024-11-29,237.33,237.33,237.81,233.97,234.81,28481400,AAPL
2024-11-27,234.92999,234.92999,235.69,233.81,234.47,33498400,AAPL
2024-11-26,235.06,235.06,235.57001,233.33,233.33,45986200,AAPL
2024-11-25,232.87,232.87,233.25,229.74001,231.46001,90152800,AAPL
2024-11-22,229.87,229.87,230.72,228.06,228.06,38168300,AAPL
2024-11-21,228.52,228.52,230.16,225.71001,228.88,42108300,AAPL
2024-11-20,229.0,229.0,229.92999,225.89,228.06,35169600,AAPL
2024-11-19,228.28,228.28,230.16,226.66,226.98,36211800,AAPL
2024-11-18,228.02,228.02,229.74001,225.17,225.25,44686000,AAPL
2024-11-15,225.0,225.0,226.92,224.27,226.39999,47923700,AAPL
2024-11-14,228.22,228.22,228.87,225.0,225.02,44923900,AAPL
2024-11-13,225.12,225.12,226.64999,222.75999,224.00999,48566200,AAPL
2024-11-12,224.23,224.23,225.59,223.36,224.55,40398300,AAPL
2024-11-11,224.23,224.23,225.7,221.5,225.0,42005600,AAPL
2024-11-08,226.96001,226.96001,228.66,226.41,227.17,38328800,AAPL
2024-11-07,227.48,227.48,227.88,224.57001,224.63,42137700,AAPL
2024-11-06,222.72,222.72,226.07001,221.19,222.61,54561100,AAPL
2024-11-05,223.45,223.45,223.95,221.14,221.8,28111300,AAPL
2024-11-04,222.00999,222.00999,222.78999,219.71001,220.99001,44944500,AAPL
2024-11-01,222.91,222.91,225.35001,220.27,220.97,65276700,AAPL
2024-10-31,225.91,225.91,229.83,225.37,229.34,64370100,AAPL
2024-10-30,230.10001,230.10001,233.47,229.55,232.61,47070900,AAPL
2024-10-29,233.67,233.67,234.33,232.32001,233.10001,35417200,AAPL
2024-10-28,233.39999,233.39999,234.73,232.55,233.32001,36087100,AAPL
2024-10-25,231.41,231.41,233.22,229.57001,229.74001,38802300,AAPL
2024-10-24,230.57001,230.57001,230.82001,228.41,229.98,31109500,AAPL
2024-10-23,230.75999,230.75999,235.14,227.75999,234.08,52287000,AAPL
2024-10-22,235.86,235.86,236.22,232.60001,233.89,38846600,AAPL
2024-10-21,236.48,236.48,236.85001,234.45,234.45,36254500,AAPL
2024-10-18,235.0,235.0,236.17999,234.00999,236.17999,46431500,AAPL
2024-10-17,232.14999,232.14999,233.85001,230.52,233.42999,32993800,AAPL
2024-10-16,231.78,231.78,232.12,229.84,231.60001,34082200,AAPL
2024-10-15,233.85001,233.85001,237.49001,232.37,233.61,64751400,AAPL
2024-10-14,231.3,231.3,231.73,228.60001,228.7,39882100,AAPL
2024-10-11,227.55,227.55,229.41,227.34,229.3,31759200,AAPL
2024-10-10,229.03999,229.03999,229.5,227.17,227.78,28183500,AAPL
2024-10-09,229.53999,229.53999,229.75,224.83,225.23,33591100,AAPL
2024-10-08,225.77,225.77,225.98,223.25,224.3,31855700,AAPL
2024-10-07,221.69,221.69,225.69,221.33,224.5,39505400,AAPL
2024-10-04,226.8,226.8,228.0,224.13,227.89999,37245100,AAPL
2024-10-03,225.67,225.67,226.81,223.32001,225.14,34044200,AAPL
2024-10-02,226.78,226.78,227.37,223.02,225.89,32880600,AAPL
2024-10-01,226.21001,226.21001,229.64999,223.74001,229.52,63285000,AAPL
2024-09-30,233.0,233.0,233.0,229.64999,230.03999,54541900,AAPL
2024-09-27,227.78999,227.78999,229.52,227.3,228.46001,34026000,AAPL
2024-09-26,227.52,227.52,228.5,225.41,227.3,36636700,AAPL
2024-09-25,226.37,226.37,227.28999,224.02,224.92999,42308700,AAPL
2024-09-24,227.37,227.37,229.35001,225.73,228.64999,43556100,AAPL
2024-09-23,226.47,226.47,229.45,225.81,227.34,54146000,AAPL
2024-09-20,228.2,228.2,233.09,227.62,229.97,318679900,AAPL
2024-09-19,228.87,228.87,229.82001,224.63,224.99001,66781300,AAPL
2024-09-18,220.69,220.69,222.71001,217.53999,217.55,59894900,AAPL
